num_interests,audience
num_interests,audience
1,2300000
1,123500000
1,168600000
1,45000000
1,325900000
1,37400000
1,558500000
1,1600000
1,66100000
1,81200000
1,95100000
1,269700000
1,116200000
1,1900000
1,2000000
1,114000000
1,94100000
1,96400000
1,79300000
1,4300000
1,57900000
1,83200000
1,1500000
1,54300000
1,58200000
1,186700000
1,251300000
1,393300000
1,202800000
1,79800000
1,211700000
1,9500000
1,42100000
1,165800000
1,197800000
1,69400000
1,33300000
1,64300000
1,27700000
1,2700000
1,2900000
1,14600000
1,468300000
1,12600000
1,103000000
1,297100000
1,106600000
1,9900000
1,54300000
1,3100000
1,1400000
1,214100000
1,5400000
1,38500000
1,5800000
1,62700000
1,59900000
1,117900000
1,2400000
1,1500000
1,77700000
1,3100000
1,174400000
1,1000000
1,6400000
1,5900000
1,64000000
1,5200000
1,1100000
1,24800000
1,104800000
1,1300000
1,59500000
1,4900000
1,172200000
1,233700000
1,46200000
1,154100000
1,35300000
1,152200000
1,3800000
1,45800000
1,336000000
1,4800000
1,244900000
1,11300000
1,305400000
1,27400000
1,1400000
1,154500000
1,44800000
1,181800000
1,415300000
1,1300000
1,162500000
1,1200000
1,181300000
1,101700000
1,94800000
1,61800000
1,25900000
1,2000000
1,3700000
1,2200000
1,5900000
1,321200000
1,2300000
1,244900000
1,168400000
1,185700000
1,230300000
1,92100000
1,310000000
1,30700000
1,177500000
1,104400000
1,407500000
1,212900000
1,274200000
1,48500000
1,49700000
1,273100000
1,65200000
1,41000000
1,1300000
1,120000000
1,1200000
1,3700000
1,1700000
1,6000000
1,12400000
1,15500000
1,75700000
1,3100000
1,176000000
1,119700000
1,100400000
1,3000000
1,157700000
1,63000000
1,219100000
1,150500000
1,68800000
1,227900000
1,18200000
1,47700000
1,84200000
1,99100000
1,42700000
1,57000000
1,670800
1,304100000
1,1200000
1,160800000
1,7200000
1,301300000
1,1900000
1,62900000
1,81300000
1,1800000
1,62900000
1,497100000
1,188500000
1,20500000
1,28300000
1,257900000
1,3000000
1,45300000
1,131900000
1,127500000
1,59100000
1,80300000
1,584200000
1,348500000
1,64500000
1,80900000
1,195300000
1,8100000
1,154300000
1,20100000
1,47000000
1,1200000
1,40300000
1,96500000
1,273400000
1,82000000
1,25300000
1,231900000
1,71300000
1,43600000
1,727200
1,1900000
1,3600000
1,122800000
1,21800000
1,69500000
1,218200000
1,59500000
1,3100000
1,5100000
1,172500000
1,231000000
1,414700000
1,100800000
1,79100000
1,56100000
1,18700000
1,29200000
1,218500000
1,14100000
1,252500000
1,126900000
1,144300000
1,214900000
1,42700000
1,7100000
1,323000000
1,59500000
1,38800000
1,6700000
1,2500000
1,17400000
1,174800000
1,310600000
1,5300000
1,161900000
1,109900000
1,324400000
1,33900000
1,434200000
1,165400000
1,160400000
1,115600000
1,1300000
1,127900000
1,91100000
1,28900000
1,199700000
1,1600000
1,39300000
1,1900000
1,1400000
1,7200000
1,91800000
1,11700000
1,178300000
1,100200000
1,11700000
1,77600000
1,58700000
1,24700000
1,397300000
1,298400000
1,47500000
1,105700000
1,2500000
1,72700000
1,4900000
1,175900000
1,13900000
1,286000000
1,6700000
1,39600000
1,13500000
1,23600000
1,203300000
1,13600000
1,109200000
1,621300
1,77800000
1,56400000
1,18600000
1,83700000
1,9700000
1,71400000
1,50200000
1,94900000
1,2200000
1,364100000
1,19900000
1,116800000
1,9900000
1,46900000
1,82100000
1,84000000
1,41400000
1,3000000
1,1300000
1,362500000
1,110500000
1,24000000
1,71300000
1,56100000
1,23200000
1,177600000
1,24700000
1,149400000
1,11300000
1,59300000
1,3800000
1,179300000
1,49700000
1,367200000
1,167400000
1,23300000
1,96100000
1,32000000
1,282500000
1,122700000
1,290000000
1,169000000
1,100500000
1,164900000
1,12800000
1,120200000
1,41200000
1,46900000
1,304600000
1,20300000
1,14700000
1,2900000
1,5200000
1,142600000
1,311600000
1,14900000
1,24500000
1,14300000
1,28800000
1,167800000
1,288000000
1,22400000
1,59700000
1,44700000
1,33800000
1,57800000
1,3600000
1,127700000
1,146400000
1,2400000
1,7800000
1,67400000
1,35600000
1,133300000
1,205500000
1,1400000
1,311100000
1,165800000
1,344600000
1,2500000
1,85400000
1,110200000
1,471300000
1,54700000
1,14000000
1,126100000
1,69600000
1,98200000
1,205700000
1,13900000
1,28400000
1,16800000
1,57700000
1,23300000
1,273000000
1,170800000
1,2000000
1,4100000
1,63400000
1,45900000
1,227900000
1,69300000
1,158900000
1,168200000
1,3300000
1,1700000
1,1500000
1,92600000
1,63100000
1,38700000
1,40800000
1,97900000
1,1200000
1,21800000
1,378300000
1,55500000
1,1600000
1,27900000
1,44900000
1,816600
1,8700000
1,263500000
1,432400000
1,223500000
1,181500000
1,17400000
1,71600000
1,36000000
1,207600000
1,26900000
1,102500000
1,295200000
1,56100000
1,464400000
1,18000000
1,160200000
1,23600000
1,214800000
1,17900000
1,228900000
1,169800000
1,3400000
1,36300000
1,11400000
1,34700000
1,194700000
1,160400000
1,131600000
1,7200000
1,166500000
1,233400000
1,192800000
1,184000000
1,6000000
1,82200
1,81900000
1,63800000
1,1500000
1,103000000
1,388000000
1,55700000
1,10300000
1,2300000
1,106100000
1,32100000
1,57400000
1,222600000
1,1500000
1,4600000
1,5600000
1,4900000
1,1700000
1,41500000
1,300500000
1,359900000
1,67700000
1,73100000
1,256400000
1,48200000
1,65700000
1,48600000
1,4000000
1,373200000
1,22400000
1,1600000
1,2200000
1,197500000
1,50800000
1,72600000
1,239100000
1,3600000
1,62700000
1,60200000
1,53300000
1,2000000
1,63100000
1,21900000
1,155300000
1,60700000
1,11300000
1,164400000
1,9200000
1,2800000
1,37900000
1,372900000
1,79100000
1,29300000
1,185200000
1,43200000
1,237600000
1,101500000
1,46700000
1,5600000
1,488500000
1,49600000
1,12800000
1,52900000
1,58300000
1,196000000
1,278700000
1,24700000
1,67500000
1,7800000
1,315300000
1,31000000
1,198100000
1,98400000
1,58700000
1,3400000
1,2700000
1,132600000
1,294400000
1,119000000
1,103000000
1,1800000
1,375900000
1,6200000
1,122700000
1,84500000
1,71900000
1,83000000
1,165700000
1,18000000
1,29700000
1,93500000
1,105900000
1,15200000
1,2900000
1,154800000
1,272500000
1,11400000
1,9900000
1,235600000
1,188700000
1,159000000
1,82000000
1,76000000
1,36200000
1,154000000
1,156200000
1,37500000
1,2600000
1,169900
1,172600000
1,73900000
